,state,Abb,date,population,Latitude,Longitude,cases,deaths,total_distributed,total_administered,percent_vaccinated,est_percent_infected_to_date,est_percent_immune
0,Alabama,AL,2021-02-12,4903185,32.601011199999995,-86.6807365,478667,9180,963600,601159,12.26,9.78,22.06
1,Alaska,AK,2021-02-12,731545,61.3025006,-158.7750198,56008,271,271550,175138,23.94,7.66,31.61
2,Arizona,AZ,2021-02-12,7278717,34.1682185,-111.930907,794224,14843,1393475,1041021,14.3,10.93,25.27
3,Arkansas,AR,2021-02-12,3017804,34.7519275,-92.13137840000002,311608,5212,630700,457386,15.16,10.34,25.53
4,California,CA,2021-02-12,39512223,37.2718745,-119.2704153,3469853,46435,8051475,5562553,14.08,8.79,22.89
5,Colorado,CO,2021-02-12,5758736,38.9979339,-105.55056699999999,414171,5893,1210475,885581,15.38,7.2,22.59
6,Connecticut,CT,2021-02-12,3565287,41.518783500000005,-72.75750699999999,267337,7381,847200,654766,18.37,7.51,25.92
7,Delaware,DE,2021-02-12,973764,39.145251,-75.41892059999999,82263,1269,188075,142103,14.59,8.46,23.07
8,District of Columbia,DC,2021-02-12,705749,38.899348700000004,-77.0145666,38670,976,193900,116261,16.47,5.49,21.98
9,Florida,FL,2021-02-12,21477737,27.9757279,-83.8330166,1814414,28564,4441375,3351430,15.6,8.46,24.08
10,Georgia,GA,2021-02-12,10617423,32.6781248,-83.22297569999999,934874,15239,2020275,1328795,12.52,8.82,21.35
11,Hawaii,HI,2021-02-12,1415872,20.46,-157.505,26672,422,310400,217780,15.38,1.88,17.27
12,Idaho,ID,2021-02-12,1787065,45.4945756,-114.1424303,167350,1801,328600,221585,12.4,9.37,21.79
13,Illinois,IL,2021-02-12,12671821,39.739318,-89.504139,1161206,22027,2561800,1772568,13.99,9.18,23.19
14,Indiana,IN,2021-02-12,6732219,39.7662195,-86.441277,649610,12117,1387975,1018783,15.13,9.67,24.83
15,Iowa,IA,2021-02-12,3155070,41.9383166,-93.389798,328565,5223,595775,432473,13.71,10.43,24.16
16,Kansas,KS,2021-02-12,2913314,38.4987789,-98.32007790000002,289210,4364,581975,367891,12.63,9.94,22.59
17,Kentucky,KY,2021-02-12,4467673,37.8222935,-85.76823990000001,390634,4420,892100,649810,14.54,8.75,23.31
18,Louisiana,LA,2021-02-12,4648794,30.9733766,-91.42990970000001,418585,9276,895150,735622,15.82,9.02,24.88
19,Maine,ME,2021-02-12,1344212,45.2185133,-69.0148656,42259,643,299375,193246,14.38,3.15,17.53
20,Maryland,MD,2021-02-12,6045680,38.806352399999994,-77.2684162,369156,7503,1192675,812231,13.43,6.11,19.57
21,Massachusetts,MA,2021-02-12,6892503,42.062939799999995,-71.718067,553812,15358,1502725,1009560,14.65,8.05,22.73
22,Michigan,MI,2021-02-12,9986857,44.9435598,-86.41580490000001,627567,16018,1919675,1537856,15.4,6.29,21.72
23,Minnesota,MN,2021-02-12,5639632,46.4418595,-93.3655146,471919,6430,1130550,831483,14.74,8.38,23.14
24,Mississippi,MS,2021-02-12,2976149,32.5851062,-89.8772196,285648,6429,613900,407723,13.7,9.62,23.35
25,Missouri,MO,2021-02-12,6137428,38.3046615,-92.437099,507605,7840,1129875,806902,13.15,8.28,21.45
26,Montana,MT,2021-02-12,1068778,46.6797995,-110.04478300000001,97159,1325,199825,167360,15.66,9.1,24.78
27,Nebraska,NE,2021-02-12,1934408,41.5008195,-99.680902,195697,2110,407500,273950,14.16,10.13,24.31
28,Nevada,NV,2021-02-12,3080156,38.502032,-117.0230604,287104,4668,533800,411057,13.35,9.34,22.7
29,New Hampshire,NH,2021-02-12,1359711,44.00123060000001,-71.57992309999999,70072,1126,311875,200675,14.76,5.16,19.93
30,New Jersey,NJ,2021-02-12,8882190,40.1430058,-74.7311156,740062,22393,1775575,1309703,14.75,8.35,23.14
31,New Mexico,NM,2021-02-12,2096829,34.1662325,-106.02606850000001,179724,3504,429950,399911,19.07,8.59,27.69
32,New York,NY,2021-02-12,19453561,40.7056258,-73.97968,1523042,45138,3941225,2821335,14.5,7.85,22.38
33,North Carolina,NC,2021-02-12,10488084,35.2145629,-79.8912675,819242,10408,2047050,1523425,14.53,7.82,22.36
34,North Dakota,ND,2021-02-12,762062,47.467881899999995,-100.3022655,98496,1461,155375,144179,18.92,12.95,31.91
35,Ohio,OH,2021-02-12,11689100,40.1903624,-82.6692525,934742,15136,2315100,1613153,13.8,8.01,21.83
36,Oklahoma,OK,2021-02-12,3956971,35.309765399999996,-98.71655849999999,410818,3959,815675,660835,16.7,10.39,27.11
37,Oregon,OR,2021-02-12,4217737,44.1419049,-120.5380993,149576,2109,841550,650929,15.43,3.55,18.99
38,Pennsylvania,PA,2021-02-12,12801989,40.99459279999999,-77.6046984,893359,23007,2682600,1678229,13.11,6.99,20.12
39,Rhode Island,RI,2021-02-12,1059361,41.5827282,-71.5064508,120821,2290,228650,136904,12.92,11.43,24.38
40,South Carolina,SC,2021-02-12,5148714,33.62505,-80.9470381,480157,7894,891450,674843,13.11,9.34,22.47
41,South Dakota,SD,2021-02-12,884659,44.2126995,-100.24716409999999,110068,1831,182025,155026,17.52,12.47,30.03
42,Tennessee,TN,2021-02-12,6829174,35.830521000000005,-85.97859890000001,739996,10802,1357425,926787,13.57,10.85,24.45
43,Texas,TX,2021-02-12,28995881,31.1693363,-100.0768425,2556292,41063,5098825,4007986,13.82,8.83,22.67
44,Utah,UT,2021-02-12,3205958,39.4997605,-111.547028,359641,1786,579700,510267,15.92,11.22,27.15
45,Vermont,VT,2021-02-12,623989,43.8717545,-72.4477828,13415,189,138025,102716,16.46,2.15,18.62
46,Virginia,VA,2021-02-12,8535519,38.0033855,-79.4587861,544209,6966,1596425,1330305,15.59,6.38,21.98
47,Washington,WA,2021-02-12,7614893,38.899348700000004,-77.0145665,330427,4739,1437825,1121779,14.73,4.34,19.08
48,West Virginia,WV,2021-02-12,1792147,38.920170500000005,-80.1816905,126887,2200,395600,376113,20.99,7.09,28.1
49,Wisconsin,WI,2021-02-12,5822434,44.7862968,-89.82670490000001,605785,6737,1082100,916129,15.73,10.42,26.17
50,Wyoming,WY,2021-02-12,578759,43.000325,-107.5545669,53086,647,122000,89138,15.4,9.18,24.6
